timestamp,sensor_id,value,unit
2025-05-06T18:49:12.934099,T001,33.38,°C
2025-05-06T18:49:12.935056,H001,58.07,%
2025-05-06T18:49:12.936054,L001,4279.95,lx
2025-05-06T18:49:12.937054,AQ001,242.91,AQI
2025-05-06T18:49:13.938964,T001,34.14,°C
2025-05-06T18:49:13.940016,H001,57.46,%
2025-05-06T18:49:13.941002,L001,4315.11,lx
2025-05-06T18:49:13.942000,AQ001,241.46,AQI
2025-05-06T18:52:24.442185,T001,12.64,°C
2025-05-06T18:52:24.442185,H001,64.08,%
2025-05-06T18:52:24.442185,L001,58.9,lx
2025-05-06T18:52:24.442185,AQ001,337.57,AQI
2025-05-06T18:52:25.443439,T001,12.43,°C
2025-05-06T18:52:25.443439,H001,64.23,%
2025-05-06T18:52:25.443439,L001,96.12,lx
2025-05-06T18:52:25.443439,AQ001,343.61,AQI
2025-05-06T18:52:26.444995,T001,13.41,°C
2025-05-06T18:52:26.445954,H001,62.43,%
2025-05-06T18:52:26.446950,L001,24.63,lx
2025-05-06T18:52:26.446950,AQ001,343.25,AQI
2025-05-06T18:52:27.448963,T001,13.29,°C
2025-05-06T18:52:27.448963,H001,62.79,%
2025-05-06T18:52:27.448963,L001,0,lx
2025-05-06T18:52:27.448963,AQ001,342.59,AQI
2025-05-06T18:52:28.450205,T001,12.47,°C
2025-05-06T18:52:28.451165,H001,64.69,%
2025-05-06T18:52:28.452164,L001,34.01,lx
2025-05-06T18:52:28.453163,AQ001,342.66,AQI
2025-05-06T18:52:29.455353,T001,13.41,°C
2025-05-06T18:52:29.456355,H001,62.74,%
2025-05-06T18:52:29.457352,L001,76.02,lx
2025-05-06T18:52:29.458363,AQ001,342.08,AQI
2025-05-06T18:52:30.460104,T001,12.33,°C
2025-05-06T18:52:30.461105,H001,63.86,%
2025-05-06T18:52:30.462104,L001,28.38,lx
2025-05-06T18:52:30.463104,AQ001,333.54,AQI
2025-05-06T18:52:31.465677,T001,13.64,°C
2025-05-06T18:52:31.466674,H001,62.49,%
2025-05-06T18:52:31.467392,L001,79.17,lx
2025-05-06T18:52:31.468274,AQ001,335.17,AQI
2025-05-06T18:52:32.471220,T001,13.12,°C
2025-05-06T18:52:32.472221,H001,63.98,%
2025-05-06T18:52:32.473218,L001,0,lx
2025-05-06T18:52:32.474219,AQ001,337.4,AQI
2025-05-06T18:52:33.476369,T001,14.6,°C
2025-05-06T18:52:33.477525,H001,63.47,%
2025-05-06T18:52:33.478452,L001,0,lx
2025-05-06T18:52:33.479458,AQ001,330.63,AQI
# --- KONIEC SESJI ---
2025-05-06T18:52:42.238787,T001,4.31,°C
2025-05-06T18:52:42.239788,H001,51.71,%
2025-05-06T18:52:42.239788,L001,112.55,lx
2025-05-06T18:52:42.239788,AQ001,347.32,AQI
2025-05-06T18:52:43.240682,T001,3.94,°C
2025-05-06T18:52:43.241746,H001,51.22,%
2025-05-06T18:52:43.242703,L001,33.72,lx
2025-05-06T18:52:43.244703,AQ001,307.57,AQI
2025-05-06T18:52:44.247208,T001,3.48,°C
2025-05-06T18:52:44.248163,H001,51.18,%
2025-05-06T18:52:44.249207,L001,0,lx
2025-05-06T18:52:44.250206,AQ001,309.36,AQI
2025-05-06T18:52:45.252686,T001,4.81,°C
2025-05-06T18:52:45.253686,H001,49.84,%
2025-05-06T18:52:45.254685,L001,70.84,lx
2025-05-06T18:52:45.255686,AQ001,302.28,AQI
2025-05-06T18:52:46.257988,T001,5.1,°C
2025-05-06T18:52:46.258984,H001,49.38,%
2025-05-06T18:52:46.259984,L001,160.87,lx
2025-05-06T18:52:46.260983,AQ001,294.59,AQI
2025-05-06T18:52:47.263339,T001,3.78,°C
2025-05-06T18:52:47.264340,H001,50.94,%
2025-05-06T18:52:47.265337,L001,149.5,lx
2025-05-06T18:52:47.266337,AQ001,287.47,AQI
2025-05-06T18:52:48.268106,T001,2.86,°C
2025-05-06T18:52:48.268106,H001,51.69,%
2025-05-06T18:52:48.269104,L001,75.19,lx
2025-05-06T18:52:48.270103,AQ001,289.46,AQI
2025-05-06T18:52:49.271227,T001,2.98,°C
2025-05-06T18:52:49.272227,H001,51.57,%
2025-05-06T18:52:49.273226,L001,132.54,lx
2025-05-06T18:52:49.274232,AQ001,294.31,AQI
2025-05-06T18:52:50.276812,T001,1.88,°C
2025-05-06T18:52:50.277971,H001,53.04,%
2025-05-06T18:52:50.278846,L001,200,lx
2025-05-06T18:52:50.279889,AQ001,257.55,AQI
2025-05-06T18:52:51.282047,T001,0.06,°C
2025-05-06T18:52:51.283047,H001,54.96,%
2025-05-06T18:52:51.284045,L001,200,lx
2025-05-06T18:52:51.285045,AQ001,251.93,AQI
# --- KONIEC SESJI ---
2025-05-06T18:53:43.409601,T001,-4.64,°C
2025-05-06T18:53:43.409601,H001,55.43,%
2025-05-06T18:53:43.409601,L001,108.13,lx
2025-05-06T18:53:43.410599,AQ001,82.25,AQI
2025-05-06T18:53:44.411395,T001,-4.76,°C
2025-05-06T18:53:44.411395,H001,55.39,%
2025-05-06T18:53:44.411395,L001,42.83,lx
2025-05-06T18:53:44.411395,AQ001,75.02,AQI
2025-05-06T18:53:45.413513,T001,-5,°C
2025-05-06T18:53:45.414509,H001,55.72,%
2025-05-06T18:53:45.415523,L001,0,lx
2025-05-06T18:53:45.416514,AQ001,83.89,AQI
2025-05-06T18:53:46.418804,T001,-5,°C
2025-05-06T18:53:46.419812,H001,55.84,%
2025-05-06T18:53:46.419812,L001,2.44,lx
2025-05-06T18:53:46.420810,AQ001,84.83,AQI
2025-05-06T18:53:47.422506,T001,-3.46,°C
2025-05-06T18:53:47.423508,H001,54.48,%
2025-05-06T18:53:47.424504,L001,73.51,lx
2025-05-06T18:53:47.425504,AQ001,80.9,AQI
2025-05-06T18:53:48.427804,T001,-3.47,°C
2025-05-06T18:53:48.428801,H001,54.69,%
2025-05-06T18:53:48.429799,L001,170.87,lx
2025-05-06T18:53:48.430799,AQ001,77.86,AQI
2025-05-06T18:53:49.432515,T001,-1.81,°C
2025-05-06T18:53:49.432515,H001,54.05,%
2025-05-06T18:53:49.432515,L001,103.34,lx
2025-05-06T18:53:49.432515,AQ001,84.32,AQI
2025-05-06T18:53:50.433978,T001,-1.99,°C
2025-05-06T18:53:50.433978,H001,54.05,%
2025-05-06T18:53:50.433978,L001,146.59,lx
2025-05-06T18:53:50.433978,AQ001,89.88,AQI
2025-05-06T18:53:51.435501,T001,-3.5,°C
2025-05-06T18:53:51.435501,H001,55.44,%
2025-05-06T18:53:51.435501,L001,113.87,lx
2025-05-06T18:53:51.435501,AQ001,83.41,AQI
2025-05-06T18:53:52.436945,T001,-3.27,°C
2025-05-06T18:53:52.437911,H001,55.54,%
2025-05-06T18:53:52.438950,L001,200,lx
2025-05-06T18:53:52.439950,AQ001,92.7,AQI
 --- KONIEC SESJI ---
2025-05-06T18:56:09.616870,T001,20,°C
2025-05-06T18:56:09.616870,H001,62.83,%
2025-05-06T18:56:09.616870,L001,200,lx
2025-05-06T18:56:09.617877,AQ001,350.11,AQI
2025-05-06T18:56:10.619208,T001,19.03,°C
2025-05-06T18:56:10.620255,H001,63.46,%
2025-05-06T18:56:10.621243,L001,200,lx
2025-05-06T18:56:10.622244,AQ001,343.22,AQI
2025-05-06T18:56:11.624822,T001,19.76,°C
2025-05-06T18:56:11.624822,H001,61.57,%
2025-05-06T18:56:11.624822,L001,119.71,lx
2025-05-06T18:56:11.624822,AQ001,340.71,AQI
2025-05-06T18:56:12.626651,T001,20,°C
2025-05-06T18:56:12.627650,H001,61.32,%
2025-05-06T18:56:12.628649,L001,76.06,lx
2025-05-06T18:56:12.629652,AQ001,335.48,AQI
2025-05-06T18:56:13.632346,T001,20,°C
2025-05-06T18:56:13.633300,H001,61.12,%
2025-05-06T18:56:13.634349,L001,64.13,lx
2025-05-06T18:56:13.635347,AQ001,341.32,AQI
2025-05-06T18:56:14.637344,T001,18.98,°C
2025-05-06T18:56:14.638343,H001,61.87,%
2025-05-06T18:56:14.639342,L001,81.26,lx
2025-05-06T18:56:14.640347,AQ001,336.01,AQI
2025-05-06T18:56:15.642353,T001,18.49,°C
2025-05-06T18:56:15.643309,H001,61.56,%
2025-05-06T18:56:15.644353,L001,159.27,lx
2025-05-06T18:56:15.645352,AQ001,295.52,AQI
2025-05-06T18:56:16.647950,T001,19.67,°C
2025-05-06T18:56:16.648946,H001,60.15,%
2025-05-06T18:56:16.649944,L001,166.61,lx
2025-05-06T18:56:16.650944,AQ001,289.59,AQI
2025-05-06T18:56:17.653383,T001,18.91,°C
2025-05-06T18:56:17.654341,H001,61.98,%
2025-05-06T18:56:17.655340,L001,90.81,lx
2025-05-06T18:56:17.656341,AQ001,290.55,AQI
2025-05-06T18:56:18.658878,T001,18.82,°C
2025-05-06T18:56:18.658878,H001,62.15,%
2025-05-06T18:56:18.659838,L001,166.35,lx
2025-05-06T18:56:18.659838,AQ001,287.02,AQI
 --- KONIEC SESJI ---
